date,gdp_pc,population,life_expectancy
2020-01-01,8536.43331960632,84339067.0,
2019-01-01,9121.51516673708,83429607.0,77.691
2018-01-01,9454.34844272271,82340090.0,77.437
2017-01-01,10589.667724687,81116451.0,77.161
2016-01-01,10894.6033779275,79827868.0,76.86
2015-01-01,11006.2795239649,78529413.0,76.532
2014-01-01,12157.9904337823,77229262.0,76.172
2013-01-01,12614.7816100386,75925454.0,75.784
2012-01-01,11795.6334567571,74651046.0,75.373
2011-01-01,11420.5554558378,73443254.0,74.944
2010-01-01,10742.7749787626,72326992.0,74.507
2009-01-01,9103.47405061243,71321406.0,74.074
2008-01-01,10941.172146426,70418612.0,73.649
2007-01-01,9791.88245001167,69581854.0,73.235
2006-01-01,8101.85692374776,68756809.0,72.83
2005-01-01,7456.2961006749,67903461.0,72.424
2004-01-01,6101.63211660696,67010930.0,72.004
2003-01-01,4760.1040190451,66089402.0,71.559
2002-01-01,3687.95609325031,65145357.0,71.078
2001-01-01,3142.92099774582,64192243.0,70.56
2000-01-01,4337.47800296354,63240196.0,70.005
1999-01-01,4116.1705596504,62287391.0,69.417
1998-01-01,4499.73750776878,61329665.0,68.807
1997-01-01,3144.38570309118,60372571.0,68.189
1996-01-01,3053.94723062156,59423278.0,67.57
1995-01-01,2897.86664012665,58486453.0,66.963
1994-01-01,2270.33732535606,57564209.0,66.377
1993-01-01,3180.18757651094,56653808.0,65.815
1992-01-01,2842.36997834511,55748946.0,65.275
1991-01-01,2735.70761464811,54840595.0,64.757
1990-01-01,2794.35049380641,53921758.0,64.256
1989-01-01,2021.85952967201,52992479.0,63.763
1988-01-01,1745.3649270203,52053764.0,63.266
1987-01-01,1705.89438447268,51100930.0,62.758
1986-01-01,1510.67631088752,50128548.0,62.231
1985-01-01,1368.4016524101,49133928.0,61.682
1984-01-01,1246.82446812927,48114158.0,61.111
1983-01-01,1310.25565176093,47073470.0,60.52
1982-01-01,1402.40643545276,46025411.0,59.915
1981-01-01,1579.0737783658,44988411.0,59.297
1980-01-01,1564.24716583282,43975972.0,58.667
1979-01-01,2079.22026914761,42994043.0,58.023
1978-01-01,1549.64435846208,42039983.0,57.37
1977-01-01,1427.37179501672,41108290.0,56.709
1976-01-01,1275.95657375528,40189561.0,56.046
1975-01-01,1136.37559602925,39277249.0,55.387
1974-01-01,927.799215748002,38370278.0,54.741
1973-01-01,686.490066455215,37472329.0,54.109
1972-01-01,558.420922950064,36587267.0,53.492
1971-01-01,455.10485821865,35720603.0,52.887
1970-01-01,489.930367655416,34876296.0,52.286
1969-01-01,571.617770198753,34055391.0,51.678
1968-01-01,526.213474583062,33256465.0,51.053
1967-01-01,481.693679863493,32477994.0,50.406
1966-01-01,444.549482834463,31717504.0,49.733
1965-01-01,386.358060636648,30972996.0,49.035
1964-01-01,369.583468629906,30244258.0,48.312
1963-01-01,350.662985186919,29531362.0,47.573
1962-01-01,309.446624309012,28832831.0,46.83
1961-01-01,283.828284266983,28146909.0,46.093
1960-01-01,509.423963409495,27472339.0,45.369
